ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-12-02T14:05:20.909621Z,P2_6741,r_c1b55661,T0_list,success,,6,200,off
2025-12-02T14:05:35.942666Z,P2_6741,r_b7a0ea2d,T0_list,success,,8,200,off
2025-12-02T14:05:40.309877Z,P2_6741,r_b367a17f,T3_add,success,,6,200,on
2025-12-02T14:06:26.496929Z,P2_6741,r_d4b00734,T0_list,success,,8,200,off
2025-12-02T14:06:30.998770Z,P2_6741,r_d6c3e375,T4_delete,success,,4,200,on
2025-12-02T14:07:10.924066Z,P2_6741,r_605a0b4f,T0_list,success,,11,200,off
2025-12-02T14:09:16.166698Z,P2_6741,r_765a6dda,T0_list,success,,15,200,off
2025-12-02T14:09:20.860832Z,P2_6741,r_f3f16088,T1_filter,success,,10,200,on
2025-12-02T14:09:21.777904Z,P2_6741,r_bdc09e15,T1_filter,success,,4,200,on
2025-12-02T14:09:22.234997Z,P2_6741,r_2d353c80,T1_filter,success,,5,200,on
2025-12-02T14:09:24.447821Z,P2_6741,r_ece8ffe5,T1_filter,success,,12,200,on
2025-12-02T14:09:27.562796Z,P2_6741,r_9b66a25b,T4_delete,success,,3,200,on
2025-12-02T14:10:23.304246Z,P2_6741,r_4241aaa9,T1_filter,success,,8,200,off
2025-12-02T14:10:23.313040Z,P2_6741,r_845aea17,T0_list,success,,6,200,off
2025-12-02T14:10:48.215920Z,P2_6741,r_fc470f5f,T3_add,success,,1,200,off
2025-12-02T14:10:48.231540Z,P2_6741,r_bea41005,T0_list,success,,10,200,off
2025-12-02T14:10:51.802018Z,P2_6741,r_b365aa06,T4_delete,success,,4,200,off
2025-12-02T14:10:51.812436Z,P2_6741,r_39f39168,T0_list,success,,7,200,off
2025-12-02T14:21:46.109683Z,P3_1993,r_64b767a4,T0_list,success,,5,200,off
2025-12-02T14:21:57.451707Z,P3_1993,r_55eb248b,T3_add,success,,3,200,on
2025-12-02T14:23:32.523544Z,P3_1993,r_87bbf5a8,T0_list,success,,9,200,off
2025-12-02T14:23:37.275474Z,P3_1993,r_abdc4ba1,T4_delete,success,,2,200,on
2025-12-02T14:24:34.457771Z,P3_1993,r_29b84294,T0_list,success,,5,200,off
2025-12-02T14:25:38.954912Z,P3_1993,r_64ece8d6,T0_list,success,,10,200,off
2025-12-02T14:25:43.471212Z,P3_1993,r_04b57b05,T1_filter,success,,4,200,on
2025-12-02T14:25:44.040881Z,P3_1993,r_3a28ca7b,T1_filter,success,,2,200,on
2025-12-02T14:25:44.431335Z,P3_1993,r_32bdbad6,T1_filter,success,,3,200,on
2025-12-02T14:25:45.083027Z,P3_1993,r_3fa5c41a,T1_filter,success,,4,200,on
2025-12-02T14:25:48.815783Z,P3_1993,r_2c259876,T4_delete,success,,2,200,on
2025-12-02T14:27:59.590045Z,P3_1993,r_ab95ac44,T1_filter,success,,8,200,off
2025-12-02T14:27:59.602845Z,P3_1993,r_1922b7ac,T0_list,success,,8,200,off
2025-12-02T14:28:13.297016Z,P3_1993,r_4f24e91b,T3_add,success,,14,200,off
2025-12-02T14:28:13.305271Z,P3_1993,r_89f2ea8d,T0_list,success,,5,200,off
2025-12-02T14:28:18.693710Z,P3_1993,r_c0b8ba60,T4_delete,success,,5,200,off
2025-12-02T14:28:18.705358Z,P3_1993,r_a1c91cba,T0_list,success,,6,200,off
2025-12-02T14:45:04.438163Z,P1_1985,r_20b73f05,T0_list,success,,10,200,off
2025-12-02T14:45:11.052011Z,P1_1985,r_85fda7a9,T3_add,success,,9,200,on
2025-12-02T14:45:48.591047Z,P1_1985,r_96fb4adc,T0_list,success,,9,200,off
2025-12-02T14:45:51.047622Z,P1_1985,r_6258fe41,T4_delete,success,,4,200,on
2025-12-02T14:46:55.591146Z,P1_1985,r_7b57a3be,T0_list,success,,7,200,off
2025-12-02T14:47:34.434799Z,P1_1985,r_0094064e,T0_list,success,,10,200,off
2025-12-02T14:47:37.425068Z,P1_1985,r_e8296117,T1_filter,success,,8,200,on
2025-12-02T14:47:40.568278Z,P1_1985,r_e843a571,T4_delete,success,,4,200,on
2025-12-02T14:49:15.583545Z,P1_1985,r_3ef430e2,T0_list,success,,16,200,off
2025-12-02T14:49:23.982697Z,P1_1985,r_516df8a0,T3_add,success,,16,200,off
2025-12-02T14:49:23.993521Z,P1_1985,r_99898ae1,T0_list,success,,7,200,off
2025-12-02T14:49:27.309196Z,P1_1985,r_6f30beb5,T4_delete,success,,4,200,off
2025-12-02T14:49:27.322410Z,P1_1985,r_1620840d,T0_list,success,,9,200,off